epoch,acc@1,acc@5,train_loss,val_loss
001,0.092,0.488,6.910,6.908
002,0.100,0.504,5.927,6.908
003,0.100,0.550,5.029,6.910
004,0.100,0.500,4.633,6.914
005,0.100,0.500,4.322,6.922
006,0.100,0.500,4.114,6.936
007,0.100,0.500,3.963,6.963
008,0.100,0.502,3.870,7.010
009,0.102,0.520,3.788,7.081
010,0.162,0.568,3.740,7.164
011,0.112,0.618,3.701,7.233
012,0.102,0.526,3.649,7.285
013,0.114,0.552,3.620,7.311
014,0.142,0.562,3.583,7.279
015,0.146,0.594,3.565,7.196
016,0.194,0.744,3.531,7.079
017,0.436,1.584,3.515,6.883
018,1.302,4.446,3.504,6.563
019,3.406,10.272,3.475,6.090
020,7.838,19.710,3.467,5.461
021,14.602,31.920,3.439,4.743
022,22.384,44.154,3.434,4.085
023,30.116,54.366,3.426,3.521
024,37.136,62.396,3.409,3.066
025,43.190,68.606,3.398,2.699
026,47.762,72.922,3.380,2.432
027,51.604,76.372,3.375,2.222
028,54.350,78.620,3.352,2.069
029,56.482,80.242,3.351,1.950
030,58.154,81.588,3.346,1.857
031,59.614,82.612,3.328,1.785
032,60.742,83.418,3.326,1.724
033,61.676,83.988,3.308,1.679
034,62.382,84.548,3.303,1.639
035,63.068,85.010,3.303,1.605
036,63.670,85.362,3.287,1.578
037,64.096,85.624,3.286,1.553
038,64.474,85.884,3.271,1.535
039,64.858,86.120,3.268,1.518
040,65.200,86.360,3.252,1.500
041,65.606,86.578,3.250,1.483
042,65.954,86.814,3.255,1.467
043,66.188,86.988,3.238,1.454
044,66.436,87.158,3.235,1.443
045,66.672,87.292,3.222,1.432
046,66.830,87.426,3.216,1.425
047,66.906,87.490,3.221,1.418
048,67.088,87.650,3.206,1.409
049,67.324,87.790,3.200,1.400
050,67.406,87.882,3.190,1.394
051,67.608,87.976,3.186,1.387
052,67.734,88.022,3.170,1.380
053,67.848,88.126,3.167,1.374
054,68.040,88.196,3.169,1.367
055,68.200,88.322,3.152,1.359
056,68.358,88.412,3.150,1.353
057,68.528,88.462,3.132,1.346
058,68.650,88.558,3.129,1.341
059,68.782,88.610,3.131,1.336
060,68.890,88.666,3.115,1.331
061,68.988,88.758,3.113,1.327
062,69.108,88.774,3.101,1.323
063,69.230,88.838,3.098,1.319
064,69.334,88.916,3.086,1.315
065,69.430,89.000,3.085,1.312
066,69.488,89.012,3.083,1.308
067,69.592,89.066,3.071,1.304
068,69.694,89.108,3.066,1.300
069,69.836,89.176,3.055,1.295
070,69.828,89.272,3.055,1.291
071,69.938,89.338,3.053,1.287
072,70.034,89.366,3.042,1.283
073,70.194,89.432,3.040,1.279
074,70.266,89.452,3.028,1.275
075,70.328,89.454,3.024,1.271
076,70.378,89.508,3.016,1.268
077,70.484,89.494,3.014,1.265
078,70.548,89.584,3.017,1.261
079,70.584,89.620,3.003,1.258
080,70.658,89.634,3.002,1.255
081,70.694,89.752,2.992,1.252
082,70.746,89.734,2.991,1.249
083,70.814,89.832,2.992,1.246
084,70.918,89.920,2.979,1.241
085,71.056,89.914,2.974,1.239
086,71.052,89.952,2.964,1.237
087,70.974,89.964,2.965,1.234
088,71.110,89.970,2.954,1.230
089,71.196,89.984,2.953,1.227
090,71.284,90.014,2.953,1.225
091,71.332,90.024,2.942,1.221
092,71.454,90.086,2.942,1.219
093,71.502,90.150,2.932,1.216
094,71.600,90.184,2.931,1.214
095,71.676,90.252,2.932,1.211
096,71.700,90.244,2.921,1.209
097,71.744,90.256,2.919,1.207
098,71.724,90.278,2.910,1.206
099,71.752,90.320,2.907,1.204
100,71.872,90.362,2.900,1.201
101,71.938,90.372,2.900,1.199
102,71.940,90.384,2.897,1.197
103,71.980,90.434,2.888,1.196
104,72.066,90.484,2.886,1.193
105,72.034,90.524,2.878,1.191
106,72.108,90.534,2.877,1.189
107,72.176,90.570,2.876,1.187
108,72.232,90.566,2.869,1.186
109,72.248,90.598,2.865,1.184
110,72.306,90.620,2.856,1.182
111,72.318,90.652,2.856,1.180
112,72.400,90.708,2.847,1.178
113,72.432,90.772,2.847,1.176
114,72.494,90.770,2.847,1.175
115,72.570,90.810,2.838,1.173
116,72.646,90.822,2.835,1.171
117,72.682,90.854,2.828,1.170
118,72.656,90.876,2.825,1.168
119,72.756,90.884,2.829,1.167
120,72.768,90.866,2.818,1.165
121,72.818,90.916,2.818,1.163
122,72.828,90.930,2.810,1.162
123,72.842,90.922,2.810,1.160
124,72.846,90.958,2.801,1.158
125,72.964,91.042,2.800,1.157
126,73.002,91.008,2.800,1.155
127,73.042,91.046,2.792,1.153
128,73.122,91.024,2.793,1.151
129,73.194,91.084,2.784,1.149
130,73.204,91.098,2.781,1.148
131,73.234,91.106,2.782,1.147
132,73.212,91.072,2.777,1.146
133,73.232,91.106,2.773,1.145
134,73.226,91.106,2.768,1.143
135,73.258,91.124,2.762,1.142
136,73.326,91.126,2.756,1.140
137,73.398,91.200,2.755,1.139
138,73.438,91.198,2.757,1.138
139,73.428,91.222,2.750,1.137
140,73.404,91.248,2.747,1.136
141,73.472,91.252,2.744,1.135
142,73.488,91.258,2.738,1.134
143,73.478,91.308,2.740,1.133
144,73.546,91.342,2.732,1.131
145,73.578,91.320,2.734,1.130
146,73.668,91.338,2.724,1.129
147,73.636,91.284,2.724,1.127
148,73.686,91.314,2.717,1.126
149,73.660,91.324,2.719,1.124
150,73.714,91.368,2.717,1.123
151,73.704,91.358,2.709,1.122
152,73.712,91.420,2.709,1.121
153,73.810,91.438,2.701,1.120
154,73.834,91.374,2.703,1.119
155,73.836,91.402,2.702,1.119
156,73.796,91.424,2.697,1.118
157,73.864,91.438,2.692,1.117
158,73.892,91.438,2.690,1.116
159,73.934,91.470,2.687,1.115
160,74.000,91.476,2.678,1.113
161,74.008,91.494,2.678,1.112
162,73.974,91.496,2.679,1.111
163,74.006,91.474,2.674,1.110
164,74.028,91.494,2.671,1.109
165,74.050,91.486,2.665,1.108
166,74.092,91.526,2.665,1.106
167,74.164,91.520,2.667,1.105
168,74.166,91.522,2.661,1.104
169,74.190,91.530,2.657,1.104
170,74.208,91.546,2.653,1.103
171,74.236,91.616,2.652,1.102
172,74.232,91.624,2.646,1.101
173,74.340,91.664,2.644,1.101
174,74.324,91.682,2.643,1.100
175,74.326,91.722,2.641,1.099
176,74.292,91.718,2.640,1.099
177,74.276,91.732,2.633,1.098
178,74.366,91.706,2.631,1.098
179,74.364,91.738,2.631,1.096
180,74.402,91.752,2.625,1.096
181,74.396,91.742,2.624,1.095
182,74.420,91.774,2.617,1.094
183,74.474,91.762,2.619,1.094
184,74.518,91.780,2.613,1.092
185,74.522,91.848,2.611,1.092
186,74.568,91.842,2.614,1.091
187,74.536,91.844,2.610,1.090
188,74.560,91.832,2.605,1.090
189,74.532,91.802,2.602,1.089
190,74.502,91.830,2.600,1.089
191,74.514,91.858,2.599,1.088
192,74.478,91.854,2.596,1.088
193,74.540,91.796,2.594,1.087
194,74.528,91.818,2.589,1.087
195,74.562,91.826,2.587,1.087
196,74.580,91.822,2.583,1.086
197,74.602,91.862,2.581,1.085
198,74.650,91.880,2.583,1.084
199,74.604,91.830,2.577,1.084
200,74.614,91.858,2.577,1.083
201,74.636,91.868,2.573,1.083
202,74.662,91.878,2.571,1.082
203,74.708,91.892,2.572,1.082
204,74.662,91.858,2.566,1.081
205,74.692,91.866,2.567,1.081
206,74.764,91.864,2.561,1.081
207,74.820,91.876,2.560,1.080
